,Depth##length##inches,Wt##other##
8K1,8,5.1
10K1,10,5.0
12K1,12,5.0
12K3,12,5.7
12K5,12,7.1
14K1,14,5.2
14K3,14,6.0
14K4,14,6.7
14K6,14,7.7
16K2,16,5.5
16K3,16,6.3
16K4,16,7.0
16K5,16,7.5
16K6,16,8.1
16K7,16,8.6
16K9,16,10.0
18K3,18,6.6
18K4,18,7.2
18K5,18,7.7
18K6,18,8.5
18K7,18,9.0
18K9,18,10.2
18K10,18,11.7
20K3,20,6.7
20K4,20,7.6
20K5,20,8.2
20K6,20,8.9
20K7,20,9.3
20K9,20,10.8
20K10,20,12.2
22K4,22,8.0
22K5,22,8.8
22K6,22,9.2
22K7,22,9.7
22K9,22,11.3
22K10,22,12.6
22K11,22,13.8
24K4,24,8.4
24K5,24,9.3
24K6,24,9.7
24K7,24,10.1
24K8,24,11.5
24K9,24,12.0
24K10,24,13.2
24K12,24,16.0
26K5,26,9.8
26K6,26,10.6
26K7,26,10.9
26K8,26,12.1
26K9,26,12.2
26K10,26,13.8
26K12,26,16.6
28K6,28,11.4
28K7,28,11.8
28K8,28,12.7
28K9,28,13.0
28K10,28,14.3
28K12,28,17.1
30K7,30,12.3
30K8,30,13.2
30K9,30,13.4
30K10,30,15.0
30K11,30,16.4
30K12,30,17.6
