,Depth##length##inches,Width##length##inches,Keynote##other##
1x3,2.5,0.75,06 11 00.B3
1x4,3.5,0.75,06 11 00.B5
1x5,4.5,0.75,06 11 00.B7
1x6,5.5,0.75,06 11 00.B8
1x8,7.25,0.75,06 11 00.B10
1x10,9.25,0.75,06 11 00.B12
1x12,11.25,0.75,06 11 00.B13
2x3,2.5,1.5,06 11 00.C1
2x4,3.5,1.5,06 11 00.D1
2x5,4.5,1.5,06 11 00.E1
2x6,5.5,1.5,06 11 00.F1
2x8,7.25,1.5,06 11 00.G1
2x10,9.25,1.5,06 11 00.H1
2x12,11.25,1.5,06 11 00.I1
2x14,13.25,1.5,06 11 00.J1
3x4,3.5,2.5,06 11 00.K1
3x6,5.5,2.5,06 11 00.K2
3x8,7.25,2.5,06 11 00.K3
3x10,9.25,2.5,06 11 00.K4
3x12,11.25,2.5,06 11 00.K5
3x14,13.25,2.5,06 11 00.K6
3x16,15.25,2.5,06 11 00.K7
4x4,3.5,3.5,06 11 00.L1
4x6,5.5,3.5,06 11 00.L5
4x8,7.25,3.5,06 11 00.L6
4x10,9.25,3.5,06 11 00.L7
4x12,11.25,3.5,06 11 00.L8
4x14,13.5,3.5,06 11 00.L9
6x6,5.5,5.5,06 11 00.M1
